FROM,TO,SUPPORT,CONFIDENCE,BELIEVE
"伦晚橙（果体偏软）&烟台水晶富士","不知火丑柑",0.0060869565217391,0.33676975945017,0.999
"不知火丑柑&伦晚橙（果体偏软）","砀山梨",0.0061490683229814,0.30182926829268,0.999
"伦晚橙（果体偏软）&砀山梨","不知火丑柑",0.0061490683229814,0.38372093023256,0.999
"不知火丑柑&伦晚橙（果体偏软）","越南香蕉",0.0070186335403727,0.34451219512195,0.999
"伦晚橙（果体偏软）&越南香蕉","不知火丑柑",0.0070186335403727,0.36688311688312,0.999
"不知火丑柑&伦晚橙（果体偏软）","黄蕉苹果",0.0062111801242236,0.30487804878049,0.999
"伦晚橙（果体偏软）&黄蕉苹果","不知火丑柑",0.0062111801242236,0.35971223021583,0.999
"不知火丑柑&天山雪梨","烟台水晶富士",0.0061490683229814,0.34494773519164,0.999
"不知火丑柑&天山雪梨","越南香蕉",0.0060869565217391,0.34146341463415,0.999
"天山雪梨&越南香蕉","不知火丑柑",0.0060869565217391,0.33676975945017,0.999
"不知火丑柑&智利黑布林","越南香蕉",0.0070807453416149,0.4,0.999
"智利黑布林&越南香蕉","不知火丑柑",0.0070807453416149,0.32386363636364,0.999
"不知火丑柑&烟台水晶富士","越南香蕉",0.0078260869565217,0.33689839572193,0.999
"不知火丑柑&砀山梨","越南香蕉",0.007888198757764,0.34231805929919,0.999
"砀山梨&越南香蕉","不知火丑柑",0.007888198757764,0.33333333333333,0.999
"不知火丑柑&砀山梨","黄蕉苹果",0.0096273291925466,0.4177897574124,0.999
"不知火丑柑&黄蕉苹果","砀山梨",0.0096273291925466,0.37081339712919,0.999
"不知火丑柑&阿克苏苹果","越南香蕉",0.0061490683229814,0.35357142857143,0.999
"越南香蕉&阿克苏苹果","不知火丑柑",0.0061490683229814,0.32142857142857,0.999
"不知火丑柑&黄蕉苹果","越南香蕉",0.0098136645962733,0.37799043062201,0.999
"越南香蕉&黄蕉苹果","不知火丑柑",0.0098136645962733,0.33545647558386,0.999
